longitude, latitude, magnitude, depth,
172.31636,-43.58377,3.186,5,
172.18349,-43.46981,2.629,5,
172.17336,-43.60583,2.594,5,
172.15353,-43.48799,3.418,8.8074,
172.41199,-43.59498,2.898,24.0081,
172.46016,-43.54328,3.44,5,
172.40691,-43.641,3.242,5,
172.32739,-43.53981,2.939,5,
172.36256,-43.57106,3.049,5,
172.14088,-43.57564,2.911,5,
172.40193,-43.59243,2.884,5,
172.15903,-43.59767,3.265,5,
172.18257,-43.60129,2.99,5,
172.1563,-43.62478,3.154,5,
172.31198,-43.58831,2.645,5,
172.22591,-43.59649,2.799,5,
171.89012,-43.60089,3.799,5,
172.42899,-43.62254,3.183,5,
172.19344,-43.54403,2.46,5,
172.19826,-43.53819,3.012,5,
172.37079,-43.55818,3.924,5,
172.28946,-43.56815,3.447,5,
172.21309,-43.59621,3.198,5,
172.51782,-43.56116,2.821,17.2056,
172.27338,-43.61273,3.366,5,
172.17668,-43.61364,2.517,5,
171.87485,-43.58384,3.27,5,
172.38423,-43.62786,2.917,5,
172.4046,-43.54137,2.848,5,
172.33609,-43.60838,2.776,5,
172.34029,-43.58985,3.622,5,
172.37001,-43.62367,3.515,5,
172.46312,-43.65911,4.036,7.35,
172.35254,-43.57971,3.301,5,
172.15016,-43.57456,3.224,5,
172.43527,-43.61401,3.253,5,
172.15356,-43.62331,2.803,5,
172.33922,-43.57684,2.851,5,
172.42149,-43.57253,2.972,8.9695,
172.14856,-43.48272,2.864,5,
172.33237,-43.57183,2.821,5,
172.13287,-43.58955,3.091,5,
172.37572,-43.58193,3.938,5,
172.31616,-43.59349,3.829,5,
172.60268,-43.59968,3.451,14.2471,
172.18788,-43.62982,3.256,5,
172.37469,-43.58495,3.959,9.5133,
172.4133,-43.53983,3.012,5,
172.36118,-43.63866,4.127,5,
172.04335,-43.60528,2.971,5,
172.10158,-43.51501,3.096,11.8518,
172.42204,-43.57153,3.875,14.3857,
171.89587,-43.55279,3.309,5,
172.17453,-43.50886,4.9,8.7228,
172.29117,-43.59851,4.86,8.6594,
172.12694,-43.53466,4.069,9.666,
172.19431,-43.49708,4.074,5,
172.17816,-43.50919,5.178,7.7167,
172.0896,-43.50986,3.457,5,
172.25542,-43.61336,3.899,5,
172.0882,-43.64809,3.872,5,
172.17412,-43.51949,3.337,8.2659,
