longitde,latitude,depth,SOM cluster,DBSCAN cluster,KMEAN cluster
172.47163,-43.63888,5,1,1,0
172.1165,-43.5947,5,1,1,0
172.34676,-43.59018,5,1,1,0
172.37738,-43.5607,5,1,1,0
171.92126,-43.56728,5,1,1,0
172.23676,-43.62017,5,1,1,0
172.12709,-43.51032,5,1,1,0
172.20291,-43.55304,5,1,1,0
172.29262,-43.58553,12,3,2,1
172.18323,-43.62764,5,1,1,0
172.3454,-43.59164,5,1,1,0
172.52646,-43.51237,16.3419,2,0,1
172.19888,-43.512,5,1,1,0
171.9897,-43.56758,8.3406,0,1,3
172.24605,-43.685,5,1,1,0
172.06989,-43.59444,5,1,1,0
171.95135,-43.57582,5,1,1,0
172.18819,-43.5976,17.9189,2,0,2
172.18999,-43.56454,5,1,1,0
172.40186,-43.58372,8.6807,0,1,3
172.40242,-43.59412,10.4522,3,1,3
172.13329,-43.53292,12,3,2,1
172.16226,-43.47335,5,1,1,0
172.10452,-43.53453,5,1,1,0
172.23663,-43.61254,5,1,1,0
172.40489,-43.50297,5,1,1,0
172.36053,-43.62069,5,1,1,0
171.88409,-43.58549,5,1,1,0
171.88499,-43.57277,5,1,1,0
172.35338,-43.55885,5,1,1,0
172.35081,-43.61351,5,1,1,0
172.34505,-43.55161,5,1,1,0
172.02159,-43.37907,8.6407,0,1,3
172.1277,-43.5916,5,1,1,0
172.37247,-43.58784,5,1,1,0
171.89575,-43.56173,5,1,1,0
172.29364,-43.62775,5,1,1,0
171.93831,-43.56766,5,1,1,0
172.15663,-43.49926,5.8788,1,1,0
172.11063,-43.59458,6.9558,0,1,3
172.16,-43.50596,5,1,1,0
172.19763,-43.58089,12,3,2,1
172.18799,-43.53481,5,1,1,0
172.90739,-43.77293,20.0664,2,0,2
171.86494,-43.53433,5,1,1,0
172.37065,-43.57023,5,1,1,0
172.37668,-43.5676,5,1,1,0
172.41133,-43.6416,5,1,1,0
172.25665,-43.5359,5,1,1,0
172.18466,-43.57984,6.1974,1,1,0
172.36946,-43.56889,5,1,1,0
172.29625,-43.59651,5,1,1,0
171.98843,-43.51096,5,1,1,0
172.29173,-43.62775,5,1,1,0
171.94566,-43.52047,5,1,1,0
172.36682,-43.56866,5,1,1,0
172.3358,-43.61222,5,1,1,0
172.89784,-43.52876,5,1,1,0
172.37373,-43.5656,5,1,1,0
172.39102,-43.58171,5,1,1,0
172.2113,-43.60784,5,1,1,0
172.39412,-43.55283,5,1,1,0
171.94312,-43.53643,14.5925,3,0,1
172.31667,-43.60709,5,1,1,0
172.14935,-43.50447,7.5254,0,1,3
172.39444,-43.55692,5,1,1,0
172.33728,-43.54692,5,1,1,0
172.40768,-43.56427,9.6016,0,1,3
172.16614,-43.46335,5,1,1,0
172.07832,-43.59616,5,1,1,0
172.22733,-43.5639,5,1,1,0
172.33929,-43.56008,5,1,1,0
172.50261,-43.65575,5,1,1,0
172.42409,-43.62831,5,1,1,0
172.28075,-43.51095,5,1,1,0
172.37587,-43.64032,5,1,1,0
171.95306,-43.57082,5,1,1,0
172.09174,-43.30871,8.7999,0,1,3
172.334,-43.61383,15.6131,2,0,1
172.32762,-43.6132,13.6314,3,0,1
172.18898,-43.54802,7.1208,0,1,3
172.13431,-43.49733,5,1,1,0
172.3513,-43.57739,5,1,1,0
172.18881,-43.53963,7.7684,0,1,3
172.26387,-43.62392,5,1,1,0
172.38968,-43.59166,5,1,1,0
172.29984,-43.60524,12,3,2,1
172.10933,-43.58831,8.5497,0,1,3
172.38275,-43.64339,5,1,1,0
172.17757,-43.63984,5,1,1,0
172.13132,-43.61146,5,1,1,0
172.23256,-43.4652,5,1,1,0
172.10887,-43.55689,5,1,1,0
172.28046,-43.60915,5,1,1,0
172.21495,-43.62139,5,1,1,0
172.18446,-43.45223,5,1,1,0
171.83861,-43.51344,5,1,1,0
172.37796,-43.57924,5,1,1,0
172.37222,-43.57684,5,1,1,0
172.35747,-43.60506,5,1,1,0
172.37405,-43.57056,5,1,1,0
172.44618,-43.62758,5,1,1,0
172.09085,-43.59906,5,1,1,0
172.15253,-43.57936,5,1,1,0
172.30031,-43.55319,5,1,1,0
172.2957,-43.62497,5,1,1,0
172.37375,-43.55203,5,1,1,0
172.36456,-43.61028,5,1,1,0
172.20872,-43.5714,17.4831,2,0,1
172.02998,-43.55073,11.405,3,0,1
172.38678,-43.55509,5,1,1,0
171.95735,-43.55603,5,1,1,0
172.40733,-43.64024,5,1,1,0
172.39235,-43.57941,5,1,1,0
172.14714,-43.60364,5,1,1,0
172.37096,-43.57534,5,1,1,0
172.15927,-43.60389,5,1,1,0
172.40985,-43.62104,5,1,1,0
172.16237,-43.48006,7.8429,0,1,3
172.39618,-43.5794,5,1,1,0
172.13516,-43.59304,5,1,1,0
172.16548,-43.48886,5,1,1,0
172.18207,-43.47389,5,1,1,0
172.409,-43.61388,5,1,1,0
172.18637,-43.53202,5,1,1,0
172.16185,-43.6046,5,1,1,0
171.79358,-43.53903,5,1,1,0
172.31071,-43.58903,5,1,1,0
172.25626,-43.60283,5,1,1,0
172.13304,-43.5817,5,1,1,0
172.46838,-43.54547,12,3,2,1
172.15105,-43.46188,5,1,1,0
172.39328,-43.58645,22.8089,2,0,2
172.38947,-43.53862,5,1,1,0
171.86775,-43.53791,5,1,1,0
172.27559,-43.56717,5,1,1,0
172.27838,-43.58799,5,1,1,0
171.85269,-43.58792,5,1,1,0
172.35406,-43.60077,5,1,1,0
172.30634,-43.57829,5,1,1,0
172.29555,-43.55781,5,1,1,0
172.33943,-43.57833,5,1,1,0
171.87971,-43.56548,5,1,1,0
172.3951,-43.56133,5,1,1,0
172.24995,-43.57721,5,1,1,0
172.47533,-43.62615,10.5124,0,0,3
172.25096,-43.5941,5,1,1,0
172.36569,-43.55945,5,1,1,0
172.30515,-43.59969,5,1,1,0
172.22055,-43.59555,5,1,1,0
172.27089,-43.60146,5,1,1,0
172.36649,-43.57264,5,1,1,0
171.92679,-43.50557,5,1,1,0
172.29626,-43.55808,5,1,1,0
172.36156,-43.59647,5,1,1,0
172.50249,-43.59543,5,1,1,0
172.70985,-43.64964,5,1,1,0
172.17383,-43.52053,9.225,0,1,3
171.88943,-43.54584,5,1,1,0
172.00587,-43.55528,5,1,1,0
172.03877,-43.63465,5,1,1,0
172.24518,-43.62341,9.755,0,1,3
172.36874,-43.57393,5.6273,1,1,0
172.16357,-43.58884,5,1,1,0
172.26671,-43.56147,16.7006,2,0,1
172.40782,-43.6277,5,1,1,0
172.48163,-43.51122,5,1,1,0
172.20399,-43.59662,5,1,1,0
172.29753,-43.56229,5,1,1,0
172.27907,-43.61818,5,1,1,0
