publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3745632,earthquake,2010-09-03T17:01:12.274Z,2013-07-16T14:51:00.000Z,172.22412,-43.60673,4.315,9.514,ML,,GROPE,reviewed,,nz1dr,23,12,10,0.146,213,0.2702,0.151,9.923507548
3743593,earthquake,2010-09-03T17:01:46.614Z,2013-07-16T14:51:00.000Z,172.39214,-43.61933,4.214,9.1659,ML,,GROPE,reviewed,,nz1dr,23,14,6,0.026,186,0.22322,0.217,20.75850961
3746118,earthquake,2010-09-03T17:04:03.429Z,2013-07-16T14:51:00.000Z,172.54507,-43.61502,3.962,21.6932,ML,,GROPE,reviewed,,nz1dr,8,4,9,0.069,168,0.26122,0.239,31.90960213
3366157,earthquake,2010-09-03T17:05:41.844Z,2013-07-31T15:30:00.000Z,171.96542,-43.42382,3.956,11.9575,ML,,GROPE,reviewed,,nz1dr,10,6,16,0.11,126,0.3694,0.225,19.9866664
3749037,earthquake,2010-09-03T17:06:31.358Z,2013-07-16T14:51:00.000Z,172.27841,-43.62322,4.699,8.872,ML,,GROPE,reviewed,,nz1dr,26,16,38,0.074,125,0.27506,0.309,13.88996271
3749058,earthquake,2010-09-03T17:07:12.426Z,2013-07-16T14:51:00.000Z,172.37897,-43.55125,3.821,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,5,0.179,158,0.48253,0.175,17.21720001
3749559,earthquake,2010-09-03T17:08:10.114Z,2013-07-16T14:51:00.000Z,172.24101,-43.62859,3.851,5,ML,operator assigned,GROPE,reviewed,,nz1dr,15,8,15,0.17,159,0.23774,0.164,12.70725492
3749955,earthquake,2010-09-03T17:08:56.746Z,2013-07-16T14:51:00.000Z,172.11301,-43.54909,4.117,9.9906,ML,,GROPE,reviewed,,nz1dr,13,8,22,0.058,226,0.26397,0.244,5.046790323
3750022,earthquake,2010-09-03T17:09:25.213Z,2013-07-16T14:51:00.000Z,172.45435,-43.61747,4.245,7.0828,ML,,GROPE,reviewed,,nz1dr,28,16,21,0.012,138,0.32683,0.251,25.15738597
3750061,earthquake,2010-09-03T17:12:56.774Z,2013-07-16T14:51:00.000Z,172.37834,-43.41101,3.564,33,ML,operator assigned,GROPE,reviewed,,nz1dr,11,5,6,0.217,140,0.41192,0.234,21.34303434
