longitude, latitude
172.18446,-43.45223
171.83861,-43.51344
172.37796,-43.57924
172.37222,-43.57684
172.35747,-43.60506
172.37405,-43.57056
172.44618,-43.62758
172.09085,-43.59906
172.15253,-43.57936
172.30031,-43.55319
172.2957,-43.62497
172.37375,-43.55203
172.36456,-43.61028
172.20872,-43.5714
172.02998,-43.55073
172.38678,-43.55509
171.95735,-43.55603
172.40733,-43.64024
172.39235,-43.57941
172.14714,-43.60364
172.37096,-43.57534
172.15927,-43.60389
172.40985,-43.62104
172.16237,-43.48006
172.39618,-43.5794
172.13516,-43.59304
172.16548,-43.48886
172.18207,-43.47389
172.409,-43.61388
172.18637,-43.53202
172.16185,-43.6046
171.79358,-43.53903
172.31071,-43.58903
172.25626,-43.60283
172.13304,-43.5817
172.46838,-43.54547
172.15105,-43.46188
172.39328,-43.58645
172.38947,-43.53862
171.86775,-43.53791
172.27559,-43.56717
172.27838,-43.58799
171.85269,-43.58792
172.35406,-43.60077
172.30634,-43.57829
172.29555,-43.55781
172.33943,-43.57833
171.87971,-43.56548
172.3951,-43.56133
172.24995,-43.57721
172.47533,-43.62615
172.25096,-43.5941
172.36569,-43.55945
172.30515,-43.59969
172.22055,-43.59555
172.27089,-43.60146
172.36649,-43.57264
171.92679,-43.50557
172.29626,-43.55808
172.36156,-43.59647
172.50249,-43.59543
172.70985,-43.64964
172.17383,-43.52053
171.88943,-43.54584
172.00587,-43.55528
172.03877,-43.63465
172.24518,-43.62341
172.36874,-43.57393
172.16357,-43.58884
172.26671,-43.56147
172.40782,-43.6277
172.48163,-43.51122
172.20399,-43.59662
172.29753,-43.56229
172.27907,-43.61818
172.17453,-43.53228
172.15996,-43.57421
172.4099,-43.63939
172.17426,-43.61273
172.18326,-43.48888
172.53375,-43.59634
171.85555,-43.55144
172.16974,-43.65805
171.80785,-43.47171
172.17085,-43.46582
172.37236,-43.56969
172.45032,-43.61472
172.31941,-43.58999
172.30571,-43.56851
172.18929,-43.58768
172.49506,-43.6457
172.40564,-43.61221
172.41986,-43.56096
172.45242,-43.61526
172.22,-43.55236
172.10144,-43.61153
172.34575,-43.50059
172.17348,-43.60738
172.19696,-43.56356
171.9297,-43.54212
172.23608,-43.5321
172.40091,-43.57224
172.18703,-43.4928
172.18895,-43.58276
172.3363,-43.59666
171.85231,-43.58879
172.38913,-43.60236
172.31636,-43.58377
172.18349,-43.46981
172.17336,-43.60583
172.15353,-43.48799
172.41199,-43.59498
172.46016,-43.54328
172.40691,-43.641
172.32739,-43.53981
172.36256,-43.57106
172.14088,-43.57564
172.40193,-43.59243
172.15903,-43.59767
172.18257,-43.60129
